Name,Sweep (T1),,,
Date,07/23/2026,,,
Time,22:19:51,,,
GPS Latitude,- - -,,,
GPS Longitude,- - -,,,
GPS Altitude,- - -,,,
Instrument,FSH8 - 116915/008,,,
Firmware Version,V3.60,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,3775000000,Hz,,
Frequency Offset,0,Hz,,
Span,7450000000,Hz,,
Ref Level,-30,dBm,,
Ref Offset,0,dB,,
Ref Position,1 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,10,dB,,
Pre-Amplifier,On,,,
RF Input,50 Ω,,,
RBW,100000,Hz,,
VBW,30000,Hz,,
SWT,6.21,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Max Hold,,,
Trace Math,Off,,,
Trace Detector,Max Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Gated Trigger,Off,,,
Gate Mode,Edge,,,
Gate Delay,0,s,,
Gate Length,0.0004,s,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dBm],,,
50000000,-67.3024291992188,,,
61825396.8253968,-67.3024291992188,,,
73650793.6507936,-70.2134628295898,,,
85476190.4761905,-80.0765609741211,,,
97301587.3015873,-63.3680648803711,,,
109126984.126984,-88.7421951293945,,,
120952380.952381,-91.4227905273438,,,
132777777.777778,-93.5237884521484,,,
144603174.603175,-97.1732406616211,,,
156428571.428571,-96.4798889160156,,,
168253968.253968,-94.5076217651367,,,
180079365.079365,-94.0948028564453,,,
191904761.904762,-94.7345123291016,,,
203730158.730159,-96.8368453979492,,,
215555555.555556,-97.6085205078125,,,
227380952.380952,-97.8882675170898,,,
239206349.206349,-97.3934326171875,,,
251031746.031746,-98.2225189208984,,,
262857142.857143,-98.0654830932617,,,
274682539.68254,-97.1868209838867,,,
286507936.507936,-97.4543228149414,,,
298333333.333333,-98.1995086669922,,,
310158730.15873,-97.8002777099609,,,
321984126.984127,-97.003288269043,,,
333809523.809524,-97.6483612060547,,,
345634920.634921,-96.7377777099609,,,
357460317.460317,-97.5142822265625,,,
369285714.285714,-97.8406295776367,,,
381111111.111111,-97.7346725463867,,,
392936507.936508,-97.3624114990234,,,
404761904.761905,-97.3507995605469,,,
416587301.587302,-97.5372543334961,,,
428412698.412698,-98.259407043457,,,
440238095.238095,-98.2065811157227,,,
452063492.063492,-97.9140167236328,,,
463888888.888889,-98.0536193847656,,,
475714285.714286,-96.7736663818359,,,
487539682.539683,-97.9110107421875,,,
499365079.365079,-97.1026840209961,,,
511190476.190476,-97.6671981811523,,,
523015873.015873,-97.402473449707,,,
534841269.84127,-97.734375,,,
546666666.666667,-97.6343078613281,,,
558492063.492064,-97.8593368530273,,,
570317460.31746,-97.3390731811523,,,
582142857.142857,-97.7899322509766,,,
593968253.968254,-97.6822967529297,,,
605793650.793651,-97.3763275146484,,,
617619047.619048,-97.847038269043,,,
629444444.444444,-98.008674621582,,,
641269841.269841,-98.1028747558594,,,
653095238.095238,-97.1830520629883,,,
664920634.920635,-97.9455718994141,,,
676746031.746032,-98.3622894287109,,,
688571428.571429,-98.2209167480469,,,
700396825.396825,-97.9114151000977,,,
712222222.222222,-91.7355194091797,,,
724047619.047619,-97.3710403442383,,,
735873015.873016,-91.9905014038086,,,
747698412.698413,-97.7668609619141,,,
759523809.523809,-76.003776550293,,,
771349206.349206,-76.0834732055664,,,
783174603.174603,-75.7093734741211,,,
795000000,-89.3054885864258,,,
806825396.825397,-75.4321975708008,,,
818650793.650794,-49.7994575500488,,,
830476190.47619,-54.4218215942383,,,
842301587.301587,-92.1616287231445,,,
854126984.126984,-53.337833404541,,,
865952380.952381,-59.6671142578125,,,
877777777.777778,-97.6300354003906,,,
889603174.603175,-68.4091339111328,,,
901428571.428571,-76.967041015625,,,
913253968.253968,-57.080493927002,,,
925079365.079365,-97.8782653808594,,,
936904761.904762,-52.2759895324707,,,
948730158.730159,-51.9792022705078,,,
960555555.555555,-78.1063385009766,,,
972380952.380952,-97.2784194946289,,,
984206349.206349,-97.6811218261719,,,
996031746.031746,-96.3793716430664,,,
1007857142.85714,-97.2591857910156,,,
1019682539.68254,-97.5869522094727,,,
1031507936.50794,-97.8152923583984,,,
1043333333.33333,-97.7158584594727,,,
1055158730.15873,-96.5271148681641,,,
1066984126.98413,-97.340690612793,,,
1078809523.80952,-96.9520874023438,,,
1090634920.63492,-96.6807479858398,,,
1102460317.46032,-96.9514999389648,,,
1114285714.28571,-96.7885513305664,,,
1126111111.11111,-97.0179214477539,,,
1137936507.93651,-96.2656478881836,,,
1149761904.7619,-96.5044326782227,,,
1161587301.5873,-96.645637512207,,,
1173412698.4127,-96.6602172851563,,,
1185238095.2381,-96.544319152832,,,
1197063492.06349,-96.0364379882813,,,
1208888888.88889,-96.2604217529297,,,
1220714285.71429,-96.8760833740234,,,
1232539682.53968,-96.5160064697266,,,
1244365079.36508,-96.9126510620117,,,
1256190476.19048,-96.612174987793,,,
1268015873.01587,-97.4051284790039,,,
1279841269.84127,-97.1028594970703,,,
1291666666.66667,-96.7905349731445,,,
1303492063.49206,-96.6258773803711,,,
1315317460.31746,-96.9747772216797,,,
1327142857.14286,-96.0556793212891,,,
1338968253.96825,-97.1771621704102,,,
1350793650.79365,-96.974853515625,,,
1362619047.61905,-96.6717529296875,,,
1374444444.44444,-96.7134552001953,,,
1386269841.26984,-96.4741287231445,,,
1398095238.09524,-96.9398956298828,,,
1409920634.92063,-96.1268081665039,,,
1421746031.74603,-96.2547454833984,,,
1433571428.57143,-96.3025360107422,,,
1445396825.39683,-94.2423782348633,,,
1457222222.22222,-96.6620178222656,,,
1469047619.04762,-96.2482070922852,,,
1480873015.87302,-96.7156066894531,,,
1492698412.69841,-95.8715591430664,,,
1504523809.52381,-96.3382873535156,,,
1516349206.34921,-96.9581527709961,,,
1528174603.1746,-95.5395202636719,,,
1540000000,-96.4890594482422,,,
1551825396.8254,-96.1031188964844,,,
1563650793.65079,-97.0250091552734,,,
1575476190.47619,-96.5123291015625,,,
1587301587.30159,-96.4608840942383,,,
1599126984.12698,-96.5839767456055,,,
1610952380.95238,-96.2205123901367,,,
1622777777.77778,-93.9578628540039,,,
1634603174.60317,-96.4939804077148,,,
1646428571.42857,-96.2379531860352,,,
1658253968.25397,-96.0805969238281,,,
1670079365.07937,-96.37158203125,,,
1681904761.90476,-94.7735290527344,,,
1693730158.73016,-95.597038269043,,,
1705555555.55556,-94.7588653564453,,,
1717380952.38095,-96.7742462158203,,,
1729206349.20635,-96.5393218994141,,,
1741031746.03175,-90.8305206298828,,,
1752857142.85714,-51.6547927856445,,,
1764682539.68254,-44.654354095459,,,
1776507936.50794,-97.2019424438477,,,
1788333333.33333,-96.2097854614258,,,
1800158730.15873,-95.1945495605469,,,
1811984126.98413,-96.4454956054688,,,
1823809523.80952,-96.4719467163086,,,
1835634920.63492,-45.893627166748,,,
1847460317.46032,-50.1003913879395,,,
1859285714.28571,-65.6088485717773,,,
1871111111.11111,-87.6721343994141,,,
1882936507.93651,-88.2628021240234,,,
1894761904.7619,-96.3398132324219,,,
1906587301.5873,-96.6427230834961,,,
1918412698.4127,-95.9934005737305,,,
1930238095.2381,-96.6938552856445,,,
1942063492.06349,-95.976806640625,,,
1953888888.88889,-96.2112350463867,,,
1965714285.71429,-96.8691864013672,,,
1977539682.53968,-96.7752532958984,,,
1989365079.36508,-96.4103469848633,,,
2001190476.19048,-95.7023696899414,,,
2013015873.01587,-96.4728164672852,,,
2024841269.84127,-95.5494384765625,,,
2036666666.66667,-96.4548721313477,,,
2048492063.49206,-95.6212158203125,,,
2060317460.31746,-96.4812774658203,,,
2072142857.14286,-95.7941284179688,,,
2083968253.96825,-96.0070495605469,,,
2095793650.79365,-96.4337921142578,,,
2107619047.61905,-95.6734390258789,,,
2119444444.44444,-82.9279327392578,,,
2131269841.26984,-87.3109283447266,,,
2143095238.09524,-84.5872955322266,,,
2154920634.92063,-59.4707260131836,,,
2166746031.74603,-62.4907188415527,,,
2178571428.57143,-63.1050109863281,,,
2190396825.39683,-96.13818359375,,,
2202222222.22222,-95.8230895996094,,,
2214047619.04762,-95.2902297973633,,,
2225873015.87302,-95.9939727783203,,,
2237698412.69841,-95.0065231323242,,,
2249523809.52381,-95.6751022338867,,,
2261349206.34921,-95.1224899291992,,,
